               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10091,            0.026981,                   0,          0.00068281,             0.20484,           0.0004666,          0.00015839,            0.091685,            0.023181,                   0,            0.070484,           0.0032796,           0.0032796
                   1,            0.091515,             0.02579,                   0,          0.00084427,             0.25328,           0.0012734,          0.00032184,            0.080672,            0.023062,                   0,            0.040418,           0.0065474,           0.0065474
                   2,            0.075759,            0.026605,                   0,           0.0022766,             0.67608,             0.01452,           0.0031272,            0.070169,            0.022223,                   0,            0.010287,           0.0097493,           0.0097493
                   3,            0.056993,            0.028909,                   0,           0.0033266,             0.99798,            0.019876,           0.0068508,             0.06335,            0.022066,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048856,            0.026892,                   0,             0.25794,             0.35776,             0.16322,            0.071107,             0.04387,            0.027792,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.042672,            0.023918,                   0,             0.65316,             0.62059,             0.67464,              0.2486,            0.040907,             0.01723,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042001,             0.02032,                   0,             0.83019,             0.87487,             0.91469,             0.29311,            0.037936,            0.016727,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.04039,            0.017344,                   0,             0.96873,             0.96065,             0.99039,             0.47125,            0.032561,            0.013138,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.037929,            0.015178,                   0,             0.77419,             0.95485,             0.85362,             0.44818,            0.029817,            0.011239,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.037592,            0.013597,                   0,             0.98235,             0.95462,             0.98359,             0.47365,            0.029604,            0.010341,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035758,            0.012073,                   0,             0.99518,             0.96065,             0.99348,             0.56373,            0.029201,           0.0094224,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034744,            0.010749,                   0,             0.98098,             0.98862,             0.99449,             0.58628,            0.028699,           0.0083731,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034344,            0.010486,                   0,             0.99497,             0.99845,             0.99497,             0.57995,            0.027848,           0.0077582,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.032479,            0.010006,                   0,             0.97413,             0.98811,             0.99385,             0.59672,             0.02625,           0.0073726,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032713,            0.009456,                   0,             0.99238,             0.99495,             0.99494,             0.58695,            0.025938,           0.0070074,                   0,            0.008713,            0.008713,            0.008713
                  15,              0.0309,           0.0090735,                   0,             0.98895,             0.99294,             0.99465,             0.64708,            0.024579,           0.0069021,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.029873,           0.0085966,                   0,             0.99857,             0.99596,               0.995,             0.70136,            0.021306,           0.0063885,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.030185,           0.0085028,                   0,              0.9872,             0.99899,             0.99464,             0.68291,            0.024308,           0.0063108,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.02885,           0.0081736,                   0,             0.99833,             0.99899,               0.995,             0.64842,            0.022826,           0.0059217,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.027837,            0.008146,                   0,             0.99899,             0.99957,               0.995,             0.65343,            0.023215,           0.0066756,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027366,           0.0074311,                   0,             0.99951,                   1,               0.995,             0.70727,            0.021022,           0.0056533,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.027573,           0.0076031,                   0,             0.99755,             0.99798,               0.995,             0.69455,            0.022014,           0.0057932,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.027199,           0.0074895,                   0,             0.99899,             0.99997,               0.995,             0.69037,            0.021251,            0.006407,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.02507,           0.0074665,                   0,             0.99891,                   1,               0.995,             0.71208,            0.020455,           0.0052734,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.026035,           0.0074445,                   0,             0.99762,             0.99899,               0.995,             0.72898,            0.020614,           0.0056466,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.024916,           0.0069519,                   0,             0.99887,                   1,               0.995,             0.70579,            0.020542,           0.0051848,                   0,            0.007624,            0.007624,            0.007624
                  26,              0.0236,            0.006824,                   0,             0.99598,             0.99987,             0.99495,             0.72337,            0.020766,           0.0053083,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.023527,            0.006889,                   0,             0.99884,                   1,               0.995,             0.71937,            0.021136,           0.0051923,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.024076,           0.0067417,                   0,             0.99884,                   1,             0.99499,              0.7367,            0.019927,           0.0049532,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.024349,           0.0069004,                   0,             0.99899,             0.99981,             0.99499,             0.69123,            0.020888,           0.0051327,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.024408,           0.0070153,                   0,             0.98817,             0.99798,             0.99464,             0.71256,            0.019857,           0.0056167,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.022635,           0.0065832,                   0,             0.99867,                   1,               0.995,             0.73853,            0.019142,           0.0047981,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.022518,           0.0063592,                   0,             0.99671,                   1,             0.99499,             0.74505,            0.018895,           0.0047619,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.022765,           0.0065805,                   0,             0.99863,                   1,             0.99491,              0.7294,            0.020073,           0.0047566,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.022861,           0.0066454,                   0,             0.99885,                   1,             0.99439,             0.72506,            0.019711,           0.0047052,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.021613,           0.0065404,                   0,             0.99849,                   1,             0.99485,             0.75107,            0.018811,           0.0050664,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.022036,           0.0063847,                   0,             0.99862,                   1,             0.99494,             0.75145,            0.018939,           0.0045714,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.021326,           0.0062599,                   0,             0.99814,                   1,             0.99497,             0.75477,            0.017964,           0.0045725,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.020679,           0.0063321,                   0,             0.99879,                   1,             0.99483,             0.76378,            0.017655,           0.0044876,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.021268,           0.0060787,                   0,             0.99877,                   1,             0.99497,             0.75415,            0.018535,           0.0045511,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.021128,           0.0060772,                   0,             0.99885,                   1,               0.995,             0.75664,            0.018121,           0.0045439,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021404,           0.0061725,                   0,             0.99885,                   1,             0.99487,             0.74407,            0.018716,           0.0045497,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.020492,           0.0058775,                   0,             0.99888,                   1,               0.995,             0.75518,            0.018262,           0.0045684,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.020454,           0.0060758,                   0,             0.99865,                   1,             0.99477,             0.75499,            0.018393,           0.0043973,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.019712,           0.0058162,                   0,              0.9989,                   1,             0.99473,             0.77607,            0.017869,           0.0043692,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.019751,           0.0059076,                   0,             0.99569,                   1,             0.99474,             0.76037,            0.017982,           0.0045283,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.020644,           0.0060072,                   0,             0.99883,                   1,              0.9949,             0.76271,            0.017871,           0.0043955,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.019653,           0.0057738,                   0,             0.99885,                   1,             0.99499,             0.76341,            0.017975,            0.004343,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.020231,           0.0058599,                   0,             0.99855,                   1,             0.99479,             0.76492,            0.017674,           0.0043713,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.019441,            0.005722,                   0,             0.99891,                   1,             0.99499,             0.76145,            0.017674,           0.0043278,                   0,            0.005248,            0.005248,            0.005248
